timestamp;temperature;power_output;irradiance
2020-04-11 00:00:00+00:00;7.82;0;0
2020-04-11 00:15:00+00:00;7.64;0;0
2020-04-11 00:30:00+00:00;7.48;0;0
2020-04-11 00:45:00+00:00;7.3;0;0
2020-04-11 01:00:00+00:00;7.19;0;0
2020-04-11 01:15:00+00:00;7.48;0;0
2020-04-11 01:30:00+00:00;7.38;0;0
2020-04-11 01:45:00+00:00;07.04;0;0
2020-04-11 02:00:00+00:00;6.87;0;0
2020-04-11 02:15:00+00:00;6.5;0;0
2020-04-11 02:30:00+00:00;6.84;0;0
2020-04-11 02:45:00+00:00;6.89;0;0
2020-04-11 03:00:00+00:00;6.89;0;0
2020-04-11 03:15:00+00:00;6.79;0;0
2020-04-11 03:30:00+00:00;6.81;0;0
2020-04-11 03:45:00+00:00;07.01;0;0
2020-04-11 04:00:00+00:00;07.04;0;0
2020-04-11 04:15:00+00:00;6.96;0;0
2020-04-11 04:30:00+00:00;7.3;0.0004;0
2020-04-11 04:45:00+00:00;7.58;0.185666667;0
2020-04-11 05:00:00+00:00;7.58;2.150866667;2.15
2020-04-11 05:15:00+00:00;7.48;8.763733333;16.64
2020-04-11 05:30:00+00:00;7.5;18.00533333;38.86
2020-04-11 05:45:00+00:00;7.46;30.1698;38.86
2020-04-11 06:00:00+00:00;7.79;50.42473333;96.31
2020-04-11 06:15:00+00:00;8.69;76.26453333;125.99
2020-04-11 06:30:00+00:00;9.52;104.8755333;158.66
2020-04-11 06:45:00+00:00;10.62;130.2226;193.95
2020-04-11 07:00:00+00:00;11.58;152.6977333;279.33
2020-04-11 07:15:00+00:00;12.34;172.3045333;322.05
2020-04-11 07:30:00+00:00;13.05;191.3534;361.35
2020-04-11 07:45:00+00:00;13.75;209.1394;397.64
2020-04-11 08:00:00+00:00;14.53;225.9710667;450.6
2020-04-11 08:15:00+00:00;15.38;238.89;484.87
2020-04-11 08:30:00+00:00;16.1;256.5936;517.12
2020-04-11 08:45:00+00:00;16.59;269.1806;547.62
2020-04-11 09:00:00+00:00;17.07;280.8028667;590.51
2020-04-11 09:15:00+00:00;17.48;290.8646;616.89
2020-04-11 09:30:00+00:00;17.83;299.7046667;641.08
2020-04-11 09:45:00+00:00;18.18;305.9575333;663.36
2020-04-11 10:00:00+00:00;18.42;309.6121333;692.75
2020-04-11 10:15:00+00:00;18.59;313.4536;709.27
2020-04-11 10:30:00+00:00;18.77;318.7236;723.45
2020-04-11 10:45:00+00:00;19;321.2364667;735.58
2020-04-11 11:00:00+00:00;19.28;323.4168;748.44
2020-04-11 11:15:00+00:00;19.59;321.1366667;753.39
2020-04-11 11:30:00+00:00;19.95;320.2230667;756.27
2020-04-11 11:45:00+00:00;20.31;314.4331333;757.33
2020-04-11 12:00:00+00:00;20.65;312.6744;753.2
2020-04-11 12:15:00+00:00;20.9;311.1124667;746.45
2020-04-11 12:30:00+00:00;21.09;312.4879333;737.43
2020-04-11 12:45:00+00:00;21.28;310.444;726.43
2020-04-11 13:00:00+00:00;21.43;293.5399333;697.47
2020-04-11 13:15:00+00:00;21.68;282.7900667;679.12
2020-04-11 13:30:00+00:00;22.02;272.7457333;663.26
2020-04-11 13:45:00+00:00;22.21;257.7147333;649.57
2020-04-11 14:00:00+00:00;22.03;230.0123333;614.78
2020-04-11 14:15:00+00:00;21.71;236.5661333;588.22
2020-04-11 14:30:00+00:00;21.56;225.7270667;558.61
2020-04-11 14:45:00+00:00;21.52;206.0926;526.31
2020-04-11 15:00:00+00:00;21.56;193.7011333;485.34
2020-04-11 15:15:00+00:00;21.61;170.7199333;449.18
2020-04-11 15:30:00+00:00;21.61;137.7969333;414.2
2020-04-11 15:45:00+00:00;21.53;124.2394667;380.26
2020-04-11 16:00:00+00:00;21.4;108.1154;324.28
2020-04-11 16:15:00+00:00;21.27;84.35966667;284.7
2020-04-11 16:30:00+00:00;21.1;58.66593333;245.59
2020-04-11 16:45:00+00:00;20.86;31.583;206.9
2020-04-11 17:00:00+00:00;20.55;24.39686667;149.48
2020-04-11 17:15:00+00:00;20.21;20.1266;113.47
2020-04-11 17:30:00+00:00;19.71;13.72066667;80.19
2020-04-11 17:45:00+00:00;18.88;8.6328;49.3
2020-04-11 18:00:00+00:00;18.45;4.298666667;4.61
2020-04-11 18:15:00+00:00;18.76;0.975333333;4.61
2020-04-11 18:30:00+00:00;18.66;0.009933333;0
2020-04-11 18:45:00+00:00;18.39;0;0
2020-04-11 19:00:00+00:00;17.83;0;0
2020-04-11 19:15:00+00:00;17.29;0;0
2020-04-11 19:30:00+00:00;17.41;0;0
2020-04-11 19:45:00+00:00;17.19;0;0
2020-04-11 20:00:00+00:00;16.76;0;0
2020-04-11 20:15:00+00:00;16.32;0;0
2020-04-11 20:30:00+00:00;16.09;0;0
2020-04-11 20:45:00+00:00;16.03;0;0
2020-04-11 21:00:00+00:00;15.7;0;0
2020-04-11 21:15:00+00:00;15.36;0;0
2020-04-11 21:30:00+00:00;15.04;0;0
2020-04-11 21:45:00+00:00;14.74;0;0
2020-04-11 22:00:00+00:00;14.2;0;0
2020-04-11 22:15:00+00:00;13.82;0;0
2020-04-11 22:30:00+00:00;13.51;0;0
2020-04-11 22:45:00+00:00;12.83;0;0
2020-04-11 23:00:00+00:00;12.4;0;0
2020-04-11 23:15:00+00:00;12.13;0;0
2020-04-11 23:30:00+00:00;11.75;0;0
2020-04-11 23:45:00+00:00;11.4;0;0
2020-04-12 00:00:00+00:00;11.86;0;0
2020-04-12 00:15:00+00:00;11.89;0;0
2020-04-12 00:30:00+00:00;11.91;0;0
2020-04-12 00:45:00+00:00;11.84;0;0
2020-04-12 01:00:00+00:00;11.67;0;0
2020-04-12 01:15:00+00:00;10.83;0;0
2020-04-12 01:30:00+00:00;10.44;0;0
2020-04-12 01:45:00+00:00;9.75;0;0
2020-04-12 02:00:00+00:00;9.71;0;0
2020-04-12 02:15:00+00:00;9.24;0;0
2020-04-12 02:30:00+00:00;9.25;0;0
2020-04-12 02:45:00+00:00;9.17;0;0
2020-04-12 03:00:00+00:00;8.65;0;0
2020-04-12 03:15:00+00:00;8.53;0;0
2020-04-12 03:30:00+00:00;8.37;0;0
2020-04-12 03:45:00+00:00;8.39;0;0
2020-04-12 04:00:00+00:00;8.18;0;0
2020-04-12 04:15:00+00:00;7.92;0;0
2020-04-12 04:30:00+00:00;7.86;0.0118;0
2020-04-12 04:45:00+00:00;7.78;0.3892;0
2020-04-12 05:00:00+00:00;7.76;3.279066667;1.4
2020-04-12 05:15:00+00:00;8;9.6042;18.69
2020-04-12 05:30:00+00:00;8.4;18.9994;46.11
